sum_earned,annual_yield,current_stake,current_total,total_interest,current_position
0x1d349f272851ddf392214b067ebb86cef48ab24d,47.41,200000,208876.8932,8876.893186,1
0x0b4ba4a38ec2a2d3c3f560bf70d1952ba02de700,47.41,200000,208876.8932,8876.893186,2
0x8d1064f9e7ff132c06b3200e19078b076c768579,47.41,200000,208876.8932,8876.893186,3
0x8bec6ff0edd4224781183bf18847529530dac2a3,47.21,200000,208839.2078,8839.20779,4
0x386d3c90b88d1d7cb31e686c47d51dd008492d3a,46.99,200000,208795.6831,8795.683071,5
0xba6491b343be68e46b92b6472e5f054fbbe19e95,46.99,200000,208795.6831,8795.683071,6
0x2a5b9f79328d998f003ff6e109f60934a6f101fd,46.99,200000,208795.6831,8795.683071,7
0x692728dc33668bdeeab4ef16a3b84fca6e23d0ab,46.99,200000,208795.3739,8795.373856,8
0x9c5d32995377a118a1db82e68eebd72da7df3d87,46.99,200000,208795.3739,8795.373856,9
0xa6e0293ef2a0c96ad4c8fb8f804b6c11b6f33d47,46.97,200000,208791.389,8791.388962,10
0xc90d8a29b726b338a8082ded0d6e24b5fd27d627,46.91,200000,208780.803,8780.802973,11
0xdd3f91cae83e75c6a6c22f7684d7af5b43555068,46.89,200000,208775.9329,8775.932934,12
0x3b03aa654ded5088b46e5da2881d6c46e12f9072,46.86,200000,208769.856,8769.856029,13
0xf6a4388d768036dcd99cd2f4aa555f1bce374c2d,46.82,200000,208761.6951,8761.695132,14
0x6732dec94acd8ab78e7850ceff53f08b7b458db3,46.7,200000,208738.3276,8738.327575,15
0x061f5fe3b4625f971fd30c1f2c6e51f8dd5dee99,46.69,200000,208735.5703,8735.570323,16
0xce5fe0a115f59f77c405905f1778adbb9c1a0cb6,46.66,200000,208729.0033,8729.00329,17
0x7eec4616038194cad402ddf78a25119eddab36fd,46.62,200000,208720.5214,8720.521435,18
0x4b223a1e9f741fd2a80e4bf369a309e3e4aa2d35,46.61,200000,208719.1426,8719.142615,19
0x68bf4b37b5823516a7c8dd840495c0ec42fbaaa4,46.61,200000,208719.1426,8719.142615,20
0x0f4341e1a869a063b851cdd143189265f5323c89,46.54,200000,208704.4434,8704.443358,21
0x9ad0ef4223d039ca9ce3afa44ba82d2d43ae8086,46.54,200000,208704.4434,8704.443358,22
0xa611cbd184bcd679384a9652c57868d9b5cf4f6b,46.53,200000,208702.5994,8702.599376,23
0x5a948324210bc8d25d63aa514dbfffce390d1a7f,46.53,200000,208702.5994,8702.599376,24
0x617e026882496d8dc5bb2e5f6d58cc6612642f57,46.52,200000,208699.8555,8699.855452,25
0x6b8c2796bbc7a4f52c2a991d21477fef0ef13da1,46.46,200000,208685.4314,8685.431418,26
0xdecf2dce49fdf1301cb5b451295d8f4aa4905d11,46.45,200000,208684.5821,8684.582135,27
0x2dd400de1b927d298d109317ac8eba612c66c81c,46.44,200000,208681.5877,8681.587653,28
0xcdee221b216e042ae1a106bc650357721f40c85c,46.44,200000,208681.5877,8681.587653,29
0x0fa9b63db95edcacfc581cc9979131809289fa86,46.43,200000,208680.1468,8680.146761,30
0x089f9f55b59f1208bad844f0ee9fc172c1547c0f,46.43,200000,208679.1213,8679.121347,31
0x60ef06f641d19c3c59aad0e96a91261e3a66da0e,46.43,200000,208679.1213,8679.121347,32
0xb0f2bffa1b7d3904d64e2114da9e029bb7be5dfb,46.4,200000,208672.6658,8672.665834,33
0x28d168b6090d39ba45b1bb63de0b4106e89315f4,46.4,200000,208672.6658,8672.665834,34
0x7dbf5fc12cc9ee3c660cf84aebc51cc72f555874,46.4,200000,208672.6658,8672.665834,35
0xa66e2103959d770e9707a02cb6458cccf435c00c,46.4,200000,208672.6658,8672.665834,36
0xa8e6b01d6ecec5796434116da44d5e24b9602631,46.4,200000,208672.6658,8672.665834,37
0x826a4de15e25fe8afdd1fe1a8dcf6e5cbdb5b2d6,46.38,200000,208666.0722,8666.072166,38
0x2985c857b061ea34a97b26371322b0416279fb7b,46.37,200000,208664.2949,8664.294858,39
0x6a5d95393a64db7ffaa2cd5f6d47cbf9502b6fb3,46.37,200000,208663.4216,8663.42165,40
0x31efe0abf3840f78cfff414b44a2846fe13e4688,46.35,200000,208660.1601,8660.16009,41
0xd5413bff766e9e2c0857033f9ba59f3c74bcb6c2,46.33,200000,208654.7253,8654.72527,42
0x739f96e7bcffd23e576cb21384ac7a79b2a6d06f,46.32,200000,208652.776,8652.775973,43
0xd92049334e75fbb946e38490d4e6be44443f383f,46.29,200000,208644.306,8644.305997,44
0xd604d7f0fe5b43387f2b5b9734d06ae9e739ed94,46.29,200000,208644.306,8644.305997,45
0x7aae441a0a07ffa3bfbf50025d825ff45f0234be,46.29,200000,208642.8494,8642.84942,46
0xd054d228b2fbae0ecb7cf28e5c3443193cb79e04,46.28,200000,208641.8812,8641.881175,47
0x681a0dc1a83f0d81a29b84ec4d76ccfa3a16f8ec,46.27,200000,208637.8987,8637.898687,48
0xea1c268163613526ed01fe813f4fd883571ca2b8,46.26,200000,208634.9831,8634.983098,49
0x000877f43163f4556ae0e069721f74cfd1a124a8,46.24,200000,208631.1487,8631.148725,50
0x5f13a591b50f65baf1e4958661f68f3861ea7203,46.32,200000,208651.5783,8651.578346,51
0x3bc20bf230002a638018d52b2a1f27064770a6cf,46.23,200000,208626.4317,8626.431672,52
0x999006a83b6b8c0bd14382cabc240b62d8683794,46.21,200000,208620.8458,8620.845822,53
